GEOID	NAME	UATYPE	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                      
11026	Brunswick, GA Urbanized Area	U	112327244	2067856	      43.370	       0.798	 31.215376	 -81.505347                                                                                                 
11040	Brunswick, ME Urban Cluster	C	63727965	1774516	      24.606	       0.685	 43.911044	 -69.927941                                                                                                   
11053	Brunswick, MD--VA Urban Cluster	C	17346436	219373	       6.697	       0.085	 39.311176	 -77.628603                                                                                                
11080	Brush, CO Urban Cluster	C	6256580	0	       2.416	       0.000	 40.259107	-103.630798                                                                                                              
11107	Bryan, OH Urban Cluster	C	16304429	56236	       6.295	       0.022	 41.473955	 -84.550698                                                                                                         
11134	Buckeye, AZ Urban Cluster	C	27065863	0	      10.450	       0.000	 33.390478	-112.583185                                                                                                           
11161	Buckhannon, WV Urban Cluster	C	16014932	0	       6.183	       0.000	 38.985415	 -80.225756                                                                                                        
11175	Buckhead (Bryan County), GA Urban Cluster	C	20155859	115968	       7.782	       0.045	 31.861877	 -81.260323                                                                                      
11188	Buckner, MO Urban Cluster	C	6130525	7094	       2.367	       0.003	 39.125522	 -94.200500                                                                                                         
11215	Bucyrus, OH Urban Cluster	C	15964722	1247	       6.164	       0.000	 40.803787	 -82.971680                                                                                                        
11242	Buena Vista, CO Urban Cluster	C	9984584	88623	       3.855	       0.034	 38.831749	-106.133048                                                                                                    
11269	Buena Vista, VA Urban Cluster	C	8863671	34604	       3.422	       0.013	 37.735113	 -79.354290                                                                                                    
11296	Buffalo, MN Urban Cluster	C	21603805	3118061	       8.341	       1.204	 45.181514	 -93.864247                                                                                                     
11323	Buffalo, MO Urban Cluster	C	5509665	2226	       2.127	       0.001	 37.645096	 -93.098472                                                                                                         
11350	Buffalo, NY Urbanized Area	U	984049033	14407808	     379.943	       5.563	 42.924930	 -78.823675                                                                                                  
11377	Buffalo, WY Urban Cluster	C	6150810	1106	       2.375	       0.000	 44.350191	-106.701248                                                                                                         
11404	Buhl, ID Urban Cluster	C	4037573	0	       1.559	       0.000	 42.598071	-114.760928                                                                                                               
11415	Buies Creek, NC Urban Cluster	C	9620435	20357	       3.714	       0.008	 35.409723	 -78.712074                                                                                                    
11431	Bullhead City, AZ--NV Urban Cluster	C	75194488	26608	      29.033	       0.010	 35.052960	-114.589825                                                                                             
11512	Bunkie, LA Urban Cluster	C	5733437	3802	       2.214	       0.001	 30.953684	 -92.185724                                                                                                          
11539	Buras, LA Urban Cluster	C	23494956	429625	       9.071	       0.166	 29.342422	 -89.500918                                                                                                        
11566	Burgaw, NC Urban Cluster	C	6407467	0	       2.474	       0.000	 34.550156	 -77.930332                                                                                                             
11575	Burgettstown, PA Urban Cluster	C	6326559	0	       2.443	       0.000	 40.379862	 -80.390416                                                                                                       
11593	Burkburnett, TX Urban Cluster	C	13529508	0	       5.224	       0.000	 34.082698	 -98.569482                                                                                                       
11620	Burley, ID Urban Cluster	C	25022263	2410356	       9.661	       0.931	 42.549818	-113.779147                                                                                                      
11647	Burlington, CO Urban Cluster	C	3830535	0	       1.479	       0.000	 39.303792	-102.265995                                                                                                         
11674	Burlington, IA--IL Urban Cluster	C	40242402	128585	      15.538	       0.050	 40.813742	 -91.132613                                                                                               
11701	Burlington, KS Urban Cluster	C	4148455	2341	       1.602	       0.001	 38.196277	 -95.743405                                                                                                      
11728	Burlington, NC Urbanized Area	U	234175334	2055250	      90.416	       0.794	 36.078968	 -79.408365                                                                                                
11755	Burlington, VT Urbanized Area	U	159958092	2716845	      61.760	       1.049	 44.474080	 -73.147596                                                                                                
